id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_id_XX,inventory_line_id/product_qty,inventory_line_id/product_uom
,,มหาชัย,product_P-PCWF-SR-001,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์1 สำโรง,,ห่อ
,,มหาชัย,product_P-PCWF-026,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์10สีม่วง,100,ห่อ
,,มหาชัย,product_P-PCWF-027,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์11สีไข่ไก่,0,ห่อ
,,มหาชัย,product_P-PCWF-028,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์12สีเหลืองเข้ม,608,ห่อ
,,มหาชัย,product_P-PCWF-029,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์13สีฟ้า,381,ห่อ
,,มหาชัย,product_P-PCWF-030,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์14สีเขียว,459,ห่อ
,,มหาชัย,product_P-PCWF-031,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์15สีส้ม,0,ห่อ
,,มหาชัย,product_P-PCWF-032,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์16สีแดง,0,ห่อ
,,มหาชัย,product_P-PCWF-017,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์1สีฟ้าเข้ม,0,ห่อ
,,มหาชัย,product_P-PCWF-SR-002,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์2 สำโรง,0,ห่อ
,,มหาชัย,product_P-PCWF-018,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์2สีเขียวเข้ม,0,ห่อ
,,มหาชัย,product_P-PCWF-SR-003,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์3 สำโรง,0,ห่อ
,,มหาชัย,product_P-PCWF-019,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์3สีเหลือง,0,ห่อ
